,Security Id,Security Name,Group,Industry
2896,ANDHRSUGAR,ANDHRA SUGARS LTD.,B ,Commodity Chemicals
2897,IMPAL,INDIA MOTOR PARTS &amp; ACCESSORIES LTD.,B ,Comm.Trading  &amp; Distribution
2898,KCP,K.C.P.LTD.,B ,Cement &amp; Cement Products
2899,KHAITANLTD,KHAITAN (INDIA) LTD.,B ,Comm.Trading  &amp; Distribution
2900,RADAAN,RADAAN MEDIAWORKS (I) LTD.,B ,Movies &amp; Entertainment
2901,SUNDARMFIN,SUNDARAM FINANCE LTD.,B ,Finance (including NBFCs)
2902,SUNDRMBRAK,SUNDARAM BRAKE LININGS LTD.,B ,Auto Parts &amp; Equipment
2903,WHEELS,WHEELS INDIA LTD.,B ,Auto Parts &amp; Equipment
2904,LAMBODHARA,LAMBODHARA TEXTILES LTD.-$,B ,Textiles
2905,MAITHANALL,MAITHAN ALLOYS LTD.,B ,Iron &amp; Steel/Interm.Products
2907,ORISSAMINE,ORISSA MINERALS DEVELOPMENT COMPANY LTD.,B ,Mining
2908,NIFTYBEES,Reliance ETF Nifty BeES,B ,Other Financial Services
2909,JUNIORBEES,Reliance ETF Junior BeES,B ,Other Financial Services
2910,BANKBEES,Reliance ETF Bank BeES,B ,Other Financial Services
2912,PSUBNKBEES,Reliance ETF PSU Bank BeES,B ,Other Financial Services
2913,SHARIABEES,Reliance ETF Shariah BeES,B ,Other Financial Services
2914,QNIFTY,QUANTUM MUTUAL FUND - QUANTUM INDEX FUND ETF,B ,Other Financial Services
2917,KANCOTEA,KANCO TEA &amp; INDUSTRIES LTD.,XT,Tea &amp; Coffee
2918,MADRASFERT,Madras Fertilizers Ltd,B ,Fertilizers
